uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_11 1 11 500 0 10000 6301 6301 0 0 0 -nan 0 0 -nan 0 10000
1_11 1 11 500 100 10000 12408 8101 4307 0.280444 0.180829 0.467808 -0.26926 -0.173961 -0.448506 -0.100273 10000
1_11 1 11 500 200 10000 13126 7281 5845 0.449868 0.244011 0.706301 -0.408042 -0.206963 -0.658521 -0.170985 10000
1_11 1 11 500 300 10000 12846 8073 4773 0.253023 0.208936 0.327592 0.170645 0.144145 0.215467 0.852879 10000
1_11 1 11 500 400 10000 12659 6113 6546 0.580657 0.479122 0.675476 0.215656 0.166238 0.261804 0.850799 10000
1_11 1 11 500 500 10000 12609 5801 6808 0.622406 0.522403 0.707616 0.213831 0.159621 0.260022 0.860511 10000
1_11 1 11 500 600 10000 12667 5917 6750 0.602554 0.50161 0.691042 0.211949 0.152444 0.264112 0.861597 10000
1_11 1 11 500 700 10000 12632 5786 6846 0.638407 0.535699 0.725212 0.207121 0.154879 0.251275 0.859677 10000
1_11 1 11 500 800 10000 12566 5633 6933 0.637651 0.534631 0.721353 0.211306 0.156615 0.255742 0.853206 10000
1_11 1 11 500 900 10000 12554 5782 6772 0.624556 0.529945 0.705336 0.211598 0.159958 0.255688 0.847447 10000
1_11 1 11 500 1000 10000 12547 5784 6763 0.621663 0.51769 0.710585 0.212044 0.153521 0.262095 0.857599 10000
1_11 1 11 500 1100 10000 12614 5861 6753 0.623637 0.527685 0.706914 0.207979 0.153413 0.255339 0.846409 10000
1_11 1 11 500 1200 10000 12613 5829 6784 0.6244 0.524946 0.709853 0.212024 0.156552 0.259687 0.859365 10000
1_11 1 11 500 1300 10000 12662 5810 6852 0.627409 0.534959 0.705799 0.21283 0.161165 0.256639 0.851479 10000
